topic_code,type,title,provider,url,duration,notes,is_primary,rank,pace,lod,breadth,dok,wida,visuals,series,prereq,video_id
19A,interactive,Mitosis Interactive,Cells Alive,https://www.cellsalive.fun/cellsalive_files/mitosis.htm,Interactive,Pre-teach: PMAT cytokinesis. Step through with animations.,,,,,,,,,,,
19B,interactive,Cytokinesis Animation,Cells Alive,https://www.cellsalive.fun/cellsalive_files/mitosis.htm,Interactive,Pre-teach: cytokinesis cleavage cell plate. Part of mitosis animation.,yes,1,,,,,,,,,
19B,video,Phases of Meiosis,Bozeman Science,https://www.youtube.com/watch?v=16enC385R0w,~22 min,"Covers all phases of meiosis including meiosis II, sister chromatids, haploid, gamete formation.",,,medium,medium,,,4,,Bozeman Science,,V0493
19B,video,Meiosis: Why Are All Humans Unique?: Crash Course Biology #30,Crash Course,https://www.youtube.com/watch?v=pj1oFx42d48,~12 min,"Pre-teach: meiosis, homologous chromosomes, sister chromatids, haploid, diploid, crossing over",,,fast,medium,,,4,high,Crash Course Biology,,V0535
1A,video,Nature of Science,Amoeba Sisters,https://www.youtube.com/watch?v=fz-3T3OLlCw,~7 min,Foundation; experimental design,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0390
1A,video,Introduction to Biology,Professor Dave Explains,https://www.youtube.com/watch?v=wENhHnJI1ys,~9 min,,yes,1,medium,shallow,,,3,high,,,V0044
1A,video,Nature of Science,Amoeba Sisters,https://www.youtube.com/watch?v=3nAETHZTObk,~10 min,"Covers observation, inference, scientific method, data collection, variables, experimental design, control group.",yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0479
1A,video,The Scientific Method: Crash Course Biology #2,Crash Course,https://www.youtube.com/watch?v=xOLcZMw0hd4,~15 min,"Pre-teach: observation, inference, hypothesis, independent/dependent variable, control group",,,fast,medium,,,4,high,Crash Course Biology,,V0521
1A,interactive,How Science Works,HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/how-science-works,Interactive,Pre-teach: hypothesis control replicate. Guided click-through.,,,,,,,,,,,
1B,video,Nature of Science,Amoeba Sisters,https://www.youtube.com/watch?v=fz-3T3OLlCw,~7 min,Foundation; experimental design,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0390
1B,video,What Is the RNA World Hypothesis?,Stated Clearly,https://www.youtube.com/watch?v=K1xnYFCZ9Yg,~9 min,"Pre-teach: ribozyme, self-replication; advanced topic",,,slow,medium,,,4,high,Stated Clearly,,V0280
1B,video,The Scientific Method: Crash Course Biology #2,Crash Course,https://www.youtube.com/watch?v=xOLcZMw0hd4,~15 min,"Pre-teach: observation, inference, hypothesis, independent/dependent variable, control group",,,fast,medium,,,4,high,Crash Course Biology,,V0521
1B,interactive,How Science Works,HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/how-science-works,Interactive,Pre-teach: evidence hypothesis control. Click-through for experimental design.,,,,,,,,,,,
20A,video,DNA Structure and Replication,Amoeba Sisters,https://www.youtube.com/watch?v=8kK2zwjRV0M,~8 min,Clear; leading/lagging strand,yes,1,slow,shallow,,,3,high,Amoeba Sisters Genetics Series,,V0294
20A,video,What Is DNA and How Does It Work?,Stated Clearly,https://www.youtube.com/watch?v=zwibgNGe4aY,5:51,,yes,1,slow,shallow,,,3,high,Stated Clearly,,V0017
20A,video,How to Read a Codon Chart,Amoeba Sisters,https://www.youtube.com/watch?v=LsEYgwuP6ko,~9 min,"Covers genetic code, codon chart, codon table, triplet code, amino acids, reading mRNA codons.",yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0492
20A,video,DNA Explained,Khan Academy,https://www.khanacademy.org/science/biology/dna-as-the-genetic-material/dna-discovery-and-structure/v/dna,~13 min,Detailed explanation; drawing approach,,,medium,medium,,,4,high,,,V0351
20A,video,Episode 33 - DNA Structure & Replication: Our Instruction Manual for Existing,HHMI BioInteractive - Crash Course Biology,https://www.biointeractive.org/CrashCourse/biology-33,0:12:46,"Pre-teach: nucleotide, antiparallel, helicase, DNA polymerase, Okazaki fragment; pause after leading vs lagging.",,,fast,medium,,,4,high,Crash Course,,V0008
20A,video,The Double Helix,HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/double-helix,~20 min,"Pre-teach: X-ray crystallography, model building; discuss scientific credit",,,,,,,,,,,V0113
20A,video,"DNA, Hot Pockets, & The Longest Word Ever: Crash Course Biology #11",Crash Course,https://www.youtube.com/watch?v=itsb2SqR-R0,~14 min,"Pre-teach: codon, mRNA, transcription, translation, amino acid, ribosome",,,fast,medium,,,4,medium,Crash Course Biology,,V0373
20A,game,DNA Structure Blooket,TheBiologyClassroom,https://www.thebiologyclassroom.com/higher-blookets,~15 min,Pre-teach: nucleotide double helix base pairing. Review game format.,,,,,,,,,,,
20B,video,DNA Replication (Basic),HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/dna-replication-basic-detail,2:04,,yes,1,,shallow,,,3,high,,,V0034
20B,video,Mechanism of Replication (Basic),CSHL DNA Learning Center,dnalc.cshl.edu/view/15879,~2 min,"3D animation: helicase, polymerase, basic replication",yes,1,,shallow,,,3,,,,V0206
20B,video,PCR (Polymerase Chain Reaction),Amoeba Sisters,https://www.youtube.com/watch?v=2KoLnIwoZKU,7:01,,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0024
20B,video,Polymerase Chain Reaction (PCR),CSHL DNALC,https://dnalc.cshl.edu/resources/3d/pcr.html,Unknown,"Pre-teach: denaturation, annealing, extension, Taq polymerase.",yes,1,,shallow,,,3,high,,,V0413
20B,video,DNA Replication,Bozeman Science,https://www.youtube.com/watch?v=6gUY5NoX1Lk,~14 min,Meselson-Stahl; leading/lagging,,,medium,medium,,,4,high,Bozeman Science,,V0328
20B,video,DNA Replication (Advanced Detail),HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/dna-replication-advanced-detail,~8 min,"Pre-teach: helicase, primase, ligase; Okazaki fragments",,,,deep,,,5,high,,,V0035
20B,video,DNA from the Beginning - Replication,DNA Learning Center,http://www.dnaftb.org/15/index.html,varies,Animations with narration,,,,medium,,,4,high,,,V0043
20B,video,Mechanism of Replication (Advanced),CSHL DNA Learning Center,dnalc.cshl.edu/view/15510,~5 min,"Leading/lagging strands, Okazaki fragments, detailed process",,,,medium,,,4,,,,V0207
20B,video,Transcription (Advanced Detail),HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/transcription-advanced-detail,~7 min,"Pre-teach: promoter, RNA polymerase, introns/exons",,,,medium,,,4,high,,,V0267
20B,interactive,DNA Replication Animation,HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/dna-replication,~15 min,Pre-teach: replication fork leading lagging. Step through process.,,,,,,,,,,,
21A,video,DNA vs RNA (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=JQByjprj_mA,~6 min,"Clear comparison table; mRNA, tRNA, rRNA",yes,1,slow,shallow,,,3,high,Amoeba Sisters Genetics Series,,V0295
21B,video,DNA Transcription (Basic Detail),HHMI BioInteractive,biointeractive.org/classroom-resources/dna-transcription-basic-detail,~3 min,3D animation of transcription,yes,1,,shallow,,,3,,,,V0209
21B,video,DNA to Protein Interactive,Learn.Genetics Utah,https://learn.genetics.utah.edu/content/basics/transcribe/,varies,Self-paced,yes,1,slow,shallow,,,3,high,,,V0059
21B,interactive,Gene Machine: Lac Operon Simulation,PhET,phet.colorado.edu/en/simulations/gene-machine-lac-operon,Interactive,Interactive exploration of lac operon mutations,yes,1,slow,shallow,,,3,,,,V0225
21B,video,Gene Regulation and the Order of the Operon,Amoeba Sisters,youtube.com/watch?v=h_1QLdtF8d0,~8 min,"Lac operon, gene expression, repressor proteins",yes,1,slow,shallow,,,3,,Amoeba Sisters Genetics Series,,V0224
21B,video,Protein Synthesis (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=oefAI2x2CQM,~9 min,Clear flow; central dogma,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0296
21B,video,Transcription (Basic),HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/transcription-basic-detail,1:51,,yes,1,,shallow,,,3,high,,,V0036
21B,simulation,Gene Expression Essentials,PhET,https://phet.colorado.edu/en/simulations/gene-expression-essentials,Interactive,Pre-teach: transcription RNA polymerase mRNA. Drag molecules to transcribe.,yes,1,slow,,,,,,,,
21B,video,Biology of Skin Color - Regulation of Gene Expression,HHMI BioInteractive,https://media.hhmi.org/biointeractive/click/Lactase_Regulation/01.html,varies,Interactive Click and Learn,,,,medium,,,4,high,,,V0080
21B,video,"DNA, Transcription, and Translation",Crash Course Biology,https://www.youtube.com/watch?v=itsb2SqR-R0,~14 min,0.75x recommended; comprehensive,,,fast,medium,,,4,medium,Crash Course,,V0373
21B,video,Gene Regulation,Amoeba Sisters,https://www.youtube.com/watch?v=h86LrMmSJcI,7:08,"Pre-teach: operon, lac",,,slow,medium,,,4,high,Amoeba Sisters Genetics Series,,V0026
21B,video,Gene Regulation,Bozeman Science,https://www.youtube.com/watch?v=RCKo8-55wYw,~10 min,Lac operon detail; epigenetics,,,medium,medium,,,4,high,Bozeman Science,,V0330
21B,video,Lac Operon,Khan Academy,https://www.khanacademy.org/science/ap-biology/gene-expression-and-regulation/regulation-of-gene-expression-and-cell-specialization/v/lac-operon,14:36,0.75x recommended; vocab list,,,medium,medium,,,4,high,,,V0054
21B,video,RNA Splicing (Advanced),CSHL DNALC,https://dnalc.cshl.edu/resources/3d/rna-splicing.html,Unknown,"Pre-teach: intron, exon, spliceosome, lariat structure.",,,,medium,,,4,high,,,V0419
21B,video,Regulation of Gene Expression,Professor Dave Explains,https://www.youtube.com/watch?v=epf2m5n3_ck,11:54,"Pre-teach: operons, transcription factors",,,medium,medium,,,4,high,,,V0050
21B,video,The Lac Operon,DNA Learning Center,https://dnalc.cshl.edu/resources/3d/lac-operon.html,~4 min,Classic CSHL animation; molecular detail,,,,medium,,,4,high,,,V0359
21B,video,Transcription,DNA Learning Center,https://dnalc.cshl.edu/resources/3d/transcription.html,~2 min,Clear molecular animation; short,,,,medium,,,4,high,,,V0361
21B,video,Transcription (Advanced Detail),HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/transcription-advanced-detail,~7 min,"Pre-teach: promoter, RNA polymerase, introns/exons",,,,medium,,,4,high,,,V0267
21B,video,Transcription (Advanced),CSHL DNA Learning Center,dnalc.cshl.edu/view/15510,~4 min,"Promoters, transcription factors, detailed process",,,,medium,,,4,,,,V0207
21B,video,Transcription and Translation,Bozeman Science,https://www.youtube.com/watch?v=h3b9AqK1RF4,~13 min,Comprehensive central dogma,,,medium,medium,,,4,high,Bozeman Science,,V0329
21B,video,Transcription: Synthesis of RNA from DNA,JoVE,jove.com/science-education,~5 min,Detailed transcription process,,,,medium,,,4,,,,V0210
21B,interactive,Transcription & Translation,CK-12,https://www.ck12.org/simulation/biology/transcription-and-translation/,Interactive,Pre-teach: mRNA ribosome codon. Interactive click-and-drag.,,,,,,,,,,,
22A,video,How to Read a Codon Chart,Amoeba Sisters,https://www.youtube.com/watch?v=TzrW5EBlE0c,~5 min,Practical skill; step-by-step,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0297
22A,video,Episode 35 - Translation: How RNA Gets Translated into Protein Power,HHMI BioInteractive - Crash Course Biology,https://www.biointeractive.org/CrashCourse/biology-35,0:12:49,"Pre-teach: codon, anticodon, tRNA, rRNA, polypeptide; quick codon chart handout helps.",,,fast,medium,,,4,high,Crash Course,,V0010
22B,video,DNA to Protein Interactive,Learn.Genetics Utah,https://learn.genetics.utah.edu/content/basics/transcribe/,varies,Self-paced,yes,1,slow,shallow,,,3,high,,,V0059
22B,video,Protein Synthesis (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=oefAI2x2CQM,~9 min,Clear flow; central dogma,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0296
22B,video,Translation (Basic),HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/translation-basic-detail,3:06,,yes,1,,shallow,,,3,high,,,V0037
22B,simulation,Gene Expression - Translation,PhET,https://phet.colorado.edu/en/simulations/gene-expression-essentials,Interactive,Pre-teach: translation ribosome protein. Drag ribosome to mRNA - make protein.,yes,1,slow,,,,,,,,
22B,video,"DNA, Transcription, and Translation",Crash Course Biology,https://www.youtube.com/watch?v=itsb2SqR-R0,~14 min,0.75x recommended; comprehensive,,,fast,medium,,,4,medium,Crash Course,,V0373
22B,video,Episode 35 - Translation: How RNA Gets Translated into Protein Power,HHMI BioInteractive - Crash Course Biology,https://www.biointeractive.org/CrashCourse/biology-35,0:12:49,"Pre-teach: codon, anticodon, tRNA, rRNA, polypeptide; quick codon chart handout helps.",,,fast,medium,,,4,high,Crash Course,,V0010
22B,video,Ribosomes and Translation,JoVE,jove.com/science-education/v/11596/ribosomes-and-translation,~5 min,"Ribosome structure, protein synthesis steps",,,,medium,,,4,,,,V0232
22B,video,Transcription and Translation,Bozeman Science,https://www.youtube.com/watch?v=h3b9AqK1RF4,~13 min,Comprehensive central dogma,,,medium,medium,,,4,high,Bozeman Science,,V0329
22B,video,Translation (Advanced Detail),HHMI BioInteractive,biointeractive.org/classroom-resources/translation-advanced-detail,~5 min,Detailed tRNA-ribosome interactions,,,,medium,,,4,,,,V0231
22B,video,Translation (Advanced),CSHL DNA Learning Center,dnalc.cshl.edu/resources/3d/16-translation-advanced.html,~4 min,"A/P/E sites, anticodon, detailed ribosome function",,,,medium,,,4,,,,V0230
23A,video,Meiosis,Professor Dave Explains,https://www.youtube.com/watch?v=bpJ8Cl0VuYs,10:47,,yes,1,medium,shallow,,,3,high,,,V0048
23A,video,Meiosis (Updated),Amoeba Sisters,youtube.com/watch?v=VzDMG7ke69g,~9 min,"PMAT I and II, crossing over, genetic variation, homologous chromosomes",yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0213
23A,interactive,Meiosis Interactive,Cells Alive,https://www.cellsalive.fun/cellsalive_files/meiosis.htm,Interactive,Pre-teach: meiosis homologous diploid haploid. Step through meiosis I.,yes,1,,,,,,,,,
23A,video,Viruses,Bozeman Science,https://www.youtube.com/watch?v=L8oHs7G_syI,~10 min,"Covers virus structure, capsid, viral envelope, are viruses alive, life debate.",,,medium,medium,,,4,,Bozeman Science,,V0488
23A,video,Viruses & Vaccines: How Do Vaccines Work?: Crash Course Biology #39,Crash Course,https://www.youtube.com/watch?v=xSbMX0MFJCY,~12 min,"Pre-teach: virus, capsid, host cell, DNA vs RNA virus, vaccine, antiviral",,,fast,medium,,,4,high,Crash Course Biology,,V0530
23A,game,Snurfle Meiosis,BioMan Biology,https://biomanbio.com/HTML5GamesandLabs/Genegames/snurflemeiosis1html5page.html,~20 min,Pre-teach: meiosis chromosome gamete. Game format - very engaging.,,,,,,,,,,,
23B,video,Meiosis (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=VzDMG7ke69g,~10 min,"Covers all meiosis stages including Meiosis II, sister chromatid separation, haploid gamete formation. Pre-teach: chromosome, DNA replication, mitosis.",yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0213
23B,interactive,Meiosis II Animation,Cells Alive,https://www.cellsalive.fun/cellsalive_files/meiosis.htm,Interactive,Pre-teach: sister chromatid separation haploid. Continue from Meiosis I.,yes,1,,,,,,,,,
23B,video,Viral Replication (035),Bozeman Science,https://www.youtube.com/watch?v=EqK1CYYQIug,~11 min,"Covers lytic cycle, lysogenic cycle, bacteriophage, viral replication, retroviruses.",,,medium,medium,,,4,,Bozeman Science,,V0489
23B,video,Viruses & Vaccines: How Do Vaccines Work?: Crash Course Biology #39,Crash Course,https://www.youtube.com/watch?v=xSbMX0MFJCY,~12 min,"Pre-teach: lytic cycle, lysogenic cycle, retrovirus, reverse transcriptase, bacteriophage",,,fast,medium,,,4,high,Crash Course Biology,,V0530
24A,video,Meiosis (Updated),Amoeba Sisters,https://www.youtube.com/watch?v=VzDMG7ke69g,~8 min,Clear comparison to mitosis; genetic variation,yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0213
24A,video,Classification,Amoeba Sisters,https://www.youtube.com/watch?v=SA02un37GFQ,~8 min,Hierarchical organization; mnemonics,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0308
24A,video,Protists and Fungi,Amoeba Sisters,https://www.youtube.com/watch?v=cg7lTzeiLQ0,~8 min,Often overlooked kingdoms,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0385
24A,video,Animals: Tour of 9 Phyla,Amoeba Sisters,https://www.youtube.com/watch?v=D7CtMvPQJmQ,~9 min,Quick overview; body plans,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0388
24A,video,Dichotomous Keys,Amoeba Sisters,https://www.youtube.com/watch?v=8n7z7jJUh3Y,~6 min,Practical skill; species identification,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0389
24A,simulation,Meiosis with Crossing Over,HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/chromosome-crossing-over-meiosis,Interactive,Pre-teach: crossing over recombination chiasma. See genetic exchange.,yes,1,,,,,,,,,
24A,video,Linked Genes and Chromosomal Inheritance,Amoeba Sisters,https://www.youtube.com/watch?v=SBWJqR3RzAc,~7 min,"Pre-teach: X-linked, autosomal; colorblindness",,,slow,medium,,,4,high,Amoeba Sisters Genetics Series,,V0303
24A,video,Meiosis: Why Are All Humans Unique?,Crash Course Biology / HHMI,https://www.biointeractive.org/classroom-resources/crash-course-biology-30-meiosis,~12 min,"Pre-teach: homologous chromosomes, chromatids. Good variation emphasis. 0.75x for ELLs.",,,fast,medium,,,4,medium,Crash Course,,V0461
24A,video,Taxonomy,Crash Course Biology,https://www.youtube.com/watch?v=F38BmgPcZ_I,~12 min,0.75x; vocab list,,,fast,medium,,,4,medium,Crash Course,,V0072
24B,video,Intro to Cladograms and Phylogenetic Trees,Amoeba Sisters,https://www.youtube.com/watch?v=ouZ9zEkxGWg,~9 min,,yes,1,slow,shallow,,,3,high,Amoeba Sisters Genetics Series,,V0149
24B,video,Cladogram Practice Problem,Interactive Biology,https://www.youtube.com/watch?v=hlZRb04eZD0,~7 min,Pause and build: copy table at 0:45 and try before reveal; BUILD focus,yes,1,,shallow,,,3,high,,,V0176
24B,video,Classification,Amoeba Sisters,https://www.youtube.com/watch?v=SA02un37GFQ,~8 min,Hierarchical organization; mnemonics,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0308
24B,video,Protists and Fungi,Amoeba Sisters,https://www.youtube.com/watch?v=cg7lTzeiLQ0,~8 min,Often overlooked kingdoms,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0385
24B,video,Animals: Tour of 9 Phyla,Amoeba Sisters,https://www.youtube.com/watch?v=D7CtMvPQJmQ,~9 min,Quick overview; body plans,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0388
24B,video,Dichotomous Keys,Amoeba Sisters,https://www.youtube.com/watch?v=8n7z7jJUh3Y,~6 min,Practical skill; species identification,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0389
24B,game,Snurfle Meiosis 2 - Diversity,BioMan Biology,https://biomanbio.com/HTML5GamesandLabs/Genegames/snurflemeiosis2html5page.html,~20 min,Pre-teach: independent assortment diversity. Shows how diversity arises.,yes,1,,,,,,,,,
24B,video,Meiosis: Why Are All Humans Unique?,Crash Course Biology / HHMI,https://www.biointeractive.org/classroom-resources/crash-course-biology-30-meiosis,~12 min,"Pre-teach: homologous chromosomes, chromatids. Good variation emphasis. 0.75x for ELLs.",,,fast,medium,,,4,medium,Crash Course,,V0461
24B,video,Taxonomy,Crash Course Biology,https://www.youtube.com/watch?v=F38BmgPcZ_I,~12 min,0.75x; vocab list,,,fast,medium,,,4,medium,Crash Course,,V0072
24B,video,Cladograms,Bozeman Science,https://www.bozemanscience.com/cladograms,~10 min,May need 0.75x for some students,,,medium,medium,,,4,high,Bozeman Science,,V0150
24B,video,Phylogeny (practice) including video: Understanding and building phylogenetic trees,Khan Academy,https://www.khanacademy.org/science/ap-biology/natural-selection/phylogeny/e/phylogeny,~10 min,"Use the practice items after the video; pre-teach: clade, node, common ancestor, synapomorphy",,,medium,medium,,,4,high,,,V0184
24B,video,VIDEO GUIDE BOZEMAN BIOLOGY – CLADOGRAMS (student viewing guide PDF),Teacher resource (PDF),https://msryman.weebly.com/uploads/3/0/5/7/30571967/bozeman_cladograms_video_guide.pdf,Worksheet,Print as guided notes; add one 'build your own' traits table problem,,,,medium,,,4,,,,V0186
24C,video,Human Genetic Variation: Hardy-Weinberg Equilibrium (worksheet + key PDF),Genetics Society of America (legacy site),https://legacy.genetics-gsa.org/education/pdf/Dasgupta%20and%20Tuttle%202013%20Human%20Genetic%20Variation%20HWE%20Worksheet%20KEY.pdf,Worksheet,Use as practice set with answer key; highlight 1 problem as class model,yes,1,,shallow,,,3,,,,V0190
24C,video,Episode 30 - Meiosis: Why Are All Humans Unique?,HHMI BioInteractive - Crash Course Biology,https://www.biointeractive.org/CrashCourse/biology-30,0:12:50,"Pre-teach: homologous chromosomes, crossing over, independent assortment, nondisjunction; use 0.75x if needed.",,,fast,medium,,,4,high,Crash Course,,V0003
24C,video,Meiosis: Where the Sex Starts,Crash Course Biology,https://www.youtube.com/watch?v=qCLmR9-YY7o,~11 min,0.75x recommended; crossing over,,,fast,medium,,,4,medium,Crash Course,,V0371
24C,video,Mitosis and Meiosis,Bozeman Science,https://www.youtube.com/watch?v=zGVBAHAoI8A,~14 min,Crossing over detail; nondisjunction,,,medium,medium,,,4,high,Bozeman Science,,V0331
25A,video,Monohybrids and the Punnett Square Guinea Pigs,Amoeba Sisters,https://www.youtube.com/watch?v=i-0rSv6oxSY,~6 min,"Covers Mendels Law of Segregation through monohybrid crosses and Punnett squares. Pre-teach: allele, genotype, phenotype.",yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0476
25A,video,Mendelian Genetics (029),Bozeman Science,https://www.youtube.com/watch?v=NWqgZUnJdAY,~16 min,"Covers law of segregation, allele separation, mendel segregation, independent assortment, genetics problems.",,,medium,shallow,,,3,,Bozeman Science,,V0214
25A,video,Heredity: Crash Course Biology #9,Crash Course,https://www.youtube.com/watch?v=CBezq1fFUEA,~10 min,"Pre-teach: allele, dominant, recessive, homozygous, heterozygous, genotype, phenotype",,,fast,medium,,,4,high,Crash Course Biology,,V0332
25B,video,Dihybrid and Two-Trait Crosses,Amoeba Sisters,https://www.youtube.com/watch?v=qIGXTJLrLf8,~11 min,"Covers law of independent assortment, dihybrid cross, 9:3:3:1 ratio, two traits, 16 square Punnett.",yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0496
25B,simulation,Population Genetics - Assortment,HHMI BioInteractive,https://www.biointeractive.org/classroom-resources/population-genetics-explorer,Interactive,Pre-teach: independent assortment chromosome. Track multiple traits in sim.,yes,1,,,,,,,,,
25B,video,Heredity: Crash Course Biology #9,Crash Course,https://www.youtube.com/watch?v=CBezq1fFUEA,~10 min,"Covers independent assortment, random orientation, law of segregation, Mendelian genetics.",,,fast,medium,,,4,high,Crash Course Biology,,V0332
26A,video,Monohybrid Crosses (Mendelian Inheritance),Amoeba Sisters,youtube.com/watch?v=NWqgZUnJdAY,~7 min,"Punnett squares, dominant/recessive, genotype/phenotype, test crosses",yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0214
26A,video,Punnett Squares,Amoeba Sisters,https://www.youtube.com/watch?v=D5ymMYcLtv0,~7 min,Step-by-step; practice problems,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0301
26A,video,Monohybrids and the Punnett Square Guinea Pigs,Amoeba Sisters,https://www.youtube.com/watch?v=i-0rSv6oxSY,~6 min,"Covers monohybrid cross, single trait, 3:1 ratio, Punnett single, dominant, recessive, genotype, phenotype.",yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0476
26A,interactive,Monohybrid Cross Practice,Learn Genetics Utah,https://learn.genetics.utah.edu/content/basics/inheritance/,Interactive,Pre-teach: monohybrid dominant recessive. Single trait crosses.,yes,1,,,,,,,,,
26A,video,Heredity: Crash Course Biology #9,Crash Course,https://www.youtube.com/watch?v=CBezq1fFUEA,~10 min,"Pre-teach: Punnett square, monohybrid cross, genotype ratio, phenotype ratio",,,fast,medium,,,4,high,Crash Course Biology,,V0332
26B,video,Punnett Squares,Amoeba Sisters,https://www.youtube.com/watch?v=D5ymMYcLtv0,~7 min,Step-by-step; practice problems,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0301
26B,video,Dihybrid and Two-Trait Crosses,Amoeba Sisters,https://www.youtube.com/watch?v=qIGXTJLrLf8,~11 min,"Covers dihybrid cross, two traits, 16 square Punnett, 9:3:3:1 ratio, independent assortment.",yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0496
26B,interactive,Dihybrid Cross Practice,Learn Genetics Utah,https://learn.genetics.utah.edu/content/basics/inheritance/,Interactive,Pre-teach: dihybrid two traits 9:3:3:1. More complex crosses.,yes,1,,,,,,,,,
26B,video,Genetic Traits: Nature? Nurture? Not That Simple: Crash Course Biology #32,Crash Course,https://www.youtube.com/watch?v=9zwq8N4Ufd8,~12 min,"Pre-teach: allele, polygenic trait, Punnett square, dihybrid cross, genotype, phenotype",,,fast,medium,,,4,high,Crash Course Biology,,V0538
27,video,Alleles and Genes,Amoeba Sisters,https://www.youtube.com/watch?v=pv9XJV8_h9E,~6 min,Foundational vocabulary; clear examples,yes,1,slow,shallow,,,3,high,Amoeba Sisters Genetics Series,,V0300
27,video,Amoeba Sisters Genetic Series Playlist,Amoeba Sisters,https://www.youtube.com/playlist?list=PLwL0Myd7Dk1Hj8WCDlDVBlkqT-ZVdj7Js,Playlist,Mendelian and non-Mendelian,yes,1,slow,shallow,,,3,high,Amoeba Sisters Genetics Series,,V0252
27,video,Co-dominance and Incomplete Dominance,Khan Academy,https://www.khanacademy.org/science/biology/classical-genetics/variations-on-mendelian-genetics/v/co-dominance-and-incomplete-dominance,~10 min,"Slower pace, step-by-step. Good for students who need more practice.",yes,1,medium,shallow,,,3,high,,,V0445
27,video,Genes and Traits Overview,Stated Clearly,https://www.youtube.com/watch?v=pOV7AhKoL_8,5:00,,yes,1,slow,shallow,,,3,high,Stated Clearly,,V0089
27,video,How Mendel's Pea Plants Helped Us Understand Genetics,TED-Ed,https://www.youtube.com/watch?v=Mehz7tCxjSE,3:07,,yes,1,,shallow,,,3,high,,,V0063
27,video,"Incomplete Dominance, Codominance, Polygenic Traits, and Epistasis",Amoeba Sisters,https://www.youtube.com/watch?v=YJHGfbW55l0,~8 min,"Pre-teach: blending inheritance, both alleles expressed, continuous variation. CRITICAL GAP FILL.",yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0443
27,video,Mendelian Genetics and Punnett Squares,Professor Dave Explains,https://www.youtube.com/watch?v=prkHKjfUmMs,10:36,,yes,1,medium,shallow,,,3,high,,,V0049
27,video,Monohybrid Crosses (Mendelian Inheritance),Amoeba Sisters,youtube.com/watch?v=NWqgZUnJdAY,~7 min,"Punnett squares, dominant/recessive, genotype/phenotype, test crosses",yes,1,slow,shallow,,,3,,Amoeba Sisters,,V0214
27,video,Multiple Alleles (ABO Blood Types) and Punnett Squares,Amoeba Sisters,https://www.youtube.com/watch?v=iq1zzB-7Mps,~7 min,"Pre-teach: more than 2 alleles, I^A, I^B, i notation. CRITICAL GAP FILL.",yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0444
27,video,Non-Mendelian Genetics,Amoeba Sisters,https://www.youtube.com/watch?v=vaIefyX-F00,~9 min,Blood type examples; coat color,yes,1,slow,shallow,,,3,high,Amoeba Sisters Genetics Series,,V0302
27,video,Pedigrees,Amoeba Sisters,https://www.youtube.com/watch?v=Gd09V3n06T4,~7 min,Step-by-step analysis; practice examples,yes,1,slow,shallow,,,3,high,Amoeba Sisters,,V0304
